KNDCD3LD7K,Clallam,Sequim,WA,98382,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,0,24,475817492,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009002002
WP1AE2AY5L,Clark,Vancouver,WA,98683,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),14,81100,17,113229637,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041310
5LMTJ5DZ3N,Clark,Vancouver,WA,98660,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),28,0,49,194201353,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042100
SADHC2S19K,Clark,Camas,WA,98607,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234,0,18,209860983,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040609
SADHC2S19K,Clark,Vancouver,WA,98684,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234,0,17,474913113,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041319
SADHD2S10K,Clark,Battle Ground,WA,98604,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234,0,18,127162528,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040416
SADHD2S12K,Clark,La Center,WA,98629,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234,0,20,101421834,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040203
JTMAB3FV5M,Clark,Ridgefield,WA,98642,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,0,17,141904528,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040403
JTMAB3FV5M,Clark,Vancouver,WA,98663,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,0,49,221539552,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041900
KMHE14L22K,Clark,Vancouver,WA,98684,2019,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),28,0,17,170533121,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041317
